beta,phase,t1,t2,tv,peak_ratio,valley_ratio,mass_tmax,survival_tmax,is_bimodal
0.0,0,,,,0.0,1.0,0.15726374826158637,0.8427362517384955,0
0.049999999999999996,0,,,,0.0,1.0,0.1608416672318718,0.8391583327682116,0
0.09999999999999999,0,,,,0.0,1.0,0.16425053675106668,0.8357494632490179,0
0.15,0,,,,0.0,1.0,0.16749494132801612,0.8325050586720636,0
0.19999999999999998,0,,,,0.0,1.0,0.17057949670657976,0.8294205032934997,0
0.24999999999999997,0,,,,0.0,1.0,0.17350880996344456,0.8264911900366333,0
0.3,2,7,13,8,0.8660372103475369,0.8441751119673329,0.17628744774865093,0.8237125522514293,1
0.35,2,7,13,8,0.9234064103588294,0.8776369512270604,0.17891991120281797,0.8210800887972599,1
0.39999999999999997,2,7,13,9,0.980277589687174,0.9023242735112463,0.1814106163497698,0.8185893836503086,1
0.44999999999999996,2,7,13,9,0.964661189313808,0.8883539757366967,0.18376387897839142,0.8162361210216865,1
0.49999999999999994,2,7,13,9,0.9153681238020388,0.8595917584385281,0.18598390320280747,0.8140160967972725,1
0.5499999999999999,2,7,13,10,0.8712847327757895,0.8325270406813335,0.18807477303311465,0.8119252269669651,1
0.6,2,7,13,10,0.8316437444616621,0.8028203346037796,0.19004044640605153,0.8099595535940273,1
